Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Kansas City-St. Joseph, MO",21-22,9038,7583,1.1918765660029011,1455,20.0,89.14285714285714,35.0,80.57142857142857,9091,0.994170058299417,-53,75.0,57.714285714285715,72.0,59.42857142857143,10820,0.8353049907578558,-1782,102.0,42.285714285714285,71.0,60.0
"Knoxville, TN",21-22,2657,2043,1.3005384238864415,614,54.0,69.71428571428572,17.0,90.85714285714286,2481,1.0709391374445787,176,50.0,72.0,42.0,76.57142857142857,3516,0.7556882821387941,-859,75.0,57.714285714285715,107.0,39.42857142857143
"La Crosse, WI",21-22,9193,8629,1.0653609920037084,564,58.0,67.42857142857143,79.0,55.42857142857143,8159,1.1267312170609143,1034,14.0,92.57142857142857,30.0,83.42857142857143,7943,1.1573712703008938,1250,4.0,98.28571428571429,14.0,92.57142857142857
"Lafayette, IN",21-22,4823,4141,1.164694518232311,682,50.0,72.0,42.0,76.57142857142857,4557,1.0583717357910907,266,41.0,77.14285714285715,46.0,74.28571428571429,5320,0.906578947368421,-497,54.0,69.71428571428572,49.0,72.57142857142857
"Lafayette, LA",21-22,9349,9607,0.9731445820755699,-258,126.0,28.57142857142857,120.0,32.0,11063,0.8450691494169755,-1714,136.0,22.857142857142858,118.0,33.14285714285714,13764,0.6792356873002035,-4415,148.0,16.0,127.0,28.000000000000004
"Lake Charles, LA",21-22,2053,2487,0.8254925613188581,-434,142.0,19.428571428571427,157.0,10.857142857142858,2691,0.7629134150873281,-638,112.0,36.57142857142857,148.0,16.0,2204,0.9314882032667876,-151,38.0,78.85714285714286,41.0,77.14285714285715
"Lansing, MI",21-22,6318,5697,1.1090047393364928,621,53.0,70.28571428571428,60.0,66.28571428571428,8399,0.7522324086200738,-2081,143.0,18.857142857142858,153.0,13.142857142857142,8956,0.7054488610987047,-2638,122.0,30.857142857142854,122.0,30.857142857142854
"Laredo, TX",21-22,1597,948,1.6845991561181435,649,51.0,71.42857142857143,6.0,97.14285714285714,1153,1.3850823937554206,444,29.0,84.0,8.0,96.0,1748,0.9136155606407322,-151,38.0,78.85714285714286,46.0,74.28571428571429
"Las Cruces, NM",21-22,542,161,3.3664596273291925,381,67.0,62.28571428571429,1.0,100.0,566,0.9575971731448764,-24,72.0,59.42857142857143,84.0,52.57142857142857,594,0.9124579124579124,-52,35.0,80.57142857142857,47.0,73.71428571428571
"Las Vegas, NV",21-22,3976,3500,1.136,476,61.0,65.71428571428571,52.0,70.85714285714285,3067,1.296380828170851,909,16.0,91.42857142857143,14.0,92.57142857142857,3986,0.997491219267436,-10,32.0,82.28571428571428,32.0,82.28571428571428
